,bitcoin,ethereum,tether,ripple,solana,cardano,dogecoin,guacamole,chainlink,polkadot,shiba-inu,litecoin,dai,bitcoin-cash,cosmos,uniswap,stellar,ethereum-classic,internet-computer,filecoin,the-graph,aave,maker,algorand,axie-infinity,decentraland,tezos,eos,chiliz,curve-dao-token,zcash,paxos-standard,1inch,dash,iotex,basic-attention-token,0x,mask-network,loopring,celo,storj,yearn-finance,ankr,aragon,balancer,skale,band-protocol,tellor,livepeer,status,alchemy-pay,uma,wrapped-bitcoin,origintrail,bounce-token,braintrust,cartesi,playdapp,kyber-network,civic,numeraire,adventure-gold,badger-dao,nkn,radicle,gitcoin,coti,lcx,ampleforth-governance-token,assemble-protocol,clover-finance,district0x,orion-protocol,quickswap,harvest-finance,airswap,suku,rai,wrapped-centrifuge
bitcoin,1.0,0.8052078668246914,0.4151465400376481,0.5606141708052661,0.5024419785103835,0.6495589764464853,0.5941167045319677,0.12399366590470591,0.5974889292795995,0.4109990904771449,0.5417344373892236,0.5875999366152715,0.3390619979143931,0.3809757158258875,0.6043309417424422,0.5123062564914604,0.6316877075014975,0.4542677126343153,0.5954529045537064,0.34204701634585305,0.4141952370465516,0.6416187003609216,0.647127978957901,0.3753980015953547,0.24408965919459827,0.36468459223579325,0.47245328787933577,0.6144847169142009,0.5947385308151217,0.49346688008695416,0.6125219966633852,0.7482786405417281,0.43205697549561145,0.5827834414044132,0.12478200726684509,0.3193508628695178,0.4520062854878148,0.3236374835054451,0.5849858387626392,0.43167388610486795,0.2112734183131105,0.21333968929389074,0.402568520850616,0.4024275578343634,0.5008228857748538,0.5300440196698206,0.275400679008298,0.41186808681899106,0.3714065867466794,-0.05206565398833218,0.3758924662581302,0.3547252474426998,0.6679710806391819,0.5068957251379719,,0.17277108025526047,0.30532178187471454,0.45330827583698274,-0.05184675307472721,0.4872586608420188,0.3083612310280381,0.2697932562116433,0.22596917413349923,0.34015977092287175,0.48713937097235416,0.15573782882510986,0.5839880249383126,0.36888742702053934,0.2751425925158876,0.16009397066790418,0.1477390789261046,0.37006907967846175,0.14656272825584493,0.5653654940174982,0.44606820989749085,0.3549392497301073,0.3369334289565401,0.12667304209682512,0.18730506296691227
ethereum,0.8052078668246914,1.0,0.33131709972915385,0.6383144963432491,0.6075318094078087,0.6134744161546731,0.6858851498016946,0.20247884705682948,0.7382160158972073,0.5417023884964058,0.6066360362981947,0.695094884079386,0.32464264684759947,0.5042133495090378,0.6086844465115396,0.5488754030989874,0.7885249290903582,0.5797269016435537,0.6540860679208924,0.5189638870599318,0.4794802185498688,0.7790451141071573,0.7291227252743748,0.4517318537894236,0.41270416404143395,0.5867294015328138,0.6503559545693495,0.7554497320940256,0.7562291903258863,0.4764126552402355,0.7472333587749699,0.6399232569737775,0.5749732180598994,0.6950829253294284,0.21528366882293515,0.3524301288692016,0.5981038027533653,0.5244897405253044,0.7265548505441427,0.5118696055120368,0.3125954546807233,0.2458871201373382,0.5529443557197754,0.43276619602673605,0.5948379151603077,0.567623183090765,0.3845186183009248,0.5273342475938423,0.49623882395399516,-0.09571694192079423,0.4979182645765231,0.28787395030219404,0.6631246080825215,0.4387407668053672,,0.1158231772317923,0.3708166960280343,0.5461341609916733,-0.2638408856349569,0.6213587512238693,0.28052508023190786,0.2933377524711299,0.22792492321309554,0.3818824396698387,0.4971257943843814,0.241497742311599,0.6505591915746474,0.36335783166611607,0.3041963378425052,0.11998752991726402,0.09636755961885096,0.36421576202504824,0.10344415602568685,0.5835914878224315,0.5518156526416663,0.24244961556047628,0.3797483810858763,0.10993303829946097,0.1343596207381846
tether,0.4151465400376481,0.33131709972915385,1.0,0.11326284026730873,0.2681447173482731,0.2676814443862019,0.2885483084442653,-0.17167082401788847,0.3386060680170265,0.22481149651914548,0.137918344677228,0.3350980164456586,0.6816697896404739,0.18096163127007733,0.10564856523523523,0.2012676090679762,0.23324063769789424,0.23286858478003283,0.25926610277832846,0.079239561141122,0.13027985734752068,0.21849235131489597,0.17683473471396802,0.20201103805031684,0.10655776330472186,0.09203469097779293,0.26431372180359747,0.34323947216042006,0.2445766127777687,0.24035173508069882,0.24963132870011742,0.22993327370078664,0.2837444072894768,0.36376554474013933,0.10834708469915465,0.0409853716830068,0.21303318055798787,0.02659585218985414,0.32629310390096844,0.18876891001504847,0.18117191742651292,0.032905958414654025,0.23764214360194727,0.08370516840171867,0.17523943043931176,0.32258793939359864,0.1737847870562152,0.11726762437870332,0.037563267577882455,0.1014020152980445,0.10834708995371019,0.03184742298649336,0.23979396004711162,0.2101606891667955,,0.13283651548893027,0.00477403071688983,0.16278303744908632,-0.02027820846041098,0.20327092083106788,0.11200057992145379,0.09814400811769035,0.1455153173320859,0.15296075716916363,0.32349183999976033,0.015803501723105837,0.1964536274313197,0.0751931657147243,-0.06059903840475,0.021530320063965987,0.0909523491944664,0.14503110490028634,0.04150736206996495,0.12576936596059224,0.20890808384393056,-0.08191564208340228,0.09349034861454718,0.09959305515921142,0.12352024250174218
ripple,0.5606141708052661,0.6383144963432491,0.11326284026730873,1.0,0.46442268353724997,0.5436061311743579,0.5916918604828468,0.2163719349245396,0.6439964504187358,0.5747314949080942,0.5289754343470452,0.5500489421672683,0.17785533203150672,0.505656626376193,0.6156200665366781,0.46627604731138217,0.7756125653965764,0.5523232634757798,0.6458210973761469,0.6180067489106223,0.6198721565441836,0.6432708311987348,0.6477505407770783,0.5041348252134874,0.13465708936032383,0.559087525583497,0.5839460772596352,0.6722007658537855,0.6766011989495676,0.3256103451427517,0.6957212878275059,0.5504195320765629,0.384181507526916,0.7018793755331116,0.25811901022539985,0.41861199145511324,0.4615519413265079,0.46657276928075875,0.6659496045862167,0.5294632432790993,0.3141983065113823,0.12515074920197097,0.5674820541122116,0.3578629945207684,0.5827176398282358,0.6053425353335895,0.4060701775632637,0.629915183746807,0.42568130023899864,-0.09020580939663497,0.3179656521358938,0.2557722178630944,0.5167304640364925,0.27947929522125325,,0.301961945444851,0.19078730414185563,0.39251876222435844,-0.2618625737945059,0.5844855016713468,0.10768048879912485,0.17865015588198618,0.06354707762207366,0.33830422123853915,0.4414745376907586,0.34431111665556785,0.603087794523517,0.27771661063706893,0.3325995611893974,0.17927842748995154,0.25466229561869136,0.13629791852574533,0.16726324359784478,0.5802879585261447,0.4466232589261613,0.1837867928641022,0.19549381555893805,-0.02890436140860696,0.0844716578613227
solana,0.5024419785103835,0.6075318094078087,0.2681447173482731,0.46442268353724997,1.0,0.3730559384671538,0.48746719855086335,0.20404067950351704,0.7119171873521996,0.4013733111119036,0.48986670088990697,0.36417717775645203,0.13263997553484264,0.2991447672011986,0.43487034582409173,0.2923023534421792,0.5755590647117732,0.4205474471257267,0.6268846034292559,0.42825344100762475,0.35607825489620676,0.6096316856368336,0.6007982393541252,0.33700642865169456,0.29506081225761144,0.4365892247818828,0.4986006139507817,0.5078546165218478,0.6008262995211636,0.18223538554602678,0.5377946133120313,0.5011270532710316,0.4874357367911588,0.5542333171417937,0.19665063835328894,0.2894795692118555,0.45658690678105646,0.4218248270131423,0.5783659769392552,0.43052449015484173,0.2598815056284643,0.28847856062386845,0.3311543918269153,0.34046423167718665,0.430162346571407,0.40255746740158116,0.42990743705809303,0.43683017859299206,0.4650652864380267,-0.02737985601596624,0.2945040583823574,0.23869568619717121,0.5423122829656352,0.12989482503214142,,0.12743390534557558,0.29135824957026213,0.24748072883649566,-0.28091179207208833,0.37289102492173826,0.22457874947911033,0.07889971284547143,0.10128786428914749,0.2630054025679771,0.29310870823927077,0.22812544076107033,0.5385188304610977,0.3396708014031519,0.07599028081540252,0.00679568343209573,0.07332128853737553,0.11964162449848803,-0.02559927549574675,0.4539077253359288,0.3332579896170012,-0.05967672252814718,0.1518532673611668,-0.10429526241138225,0.09934584678882129
cardano,0.6495589764464853,0.6134744161546731,0.2676814443862019,0.5436061311743579,0.3730559384671538,1.0,0.6636392602721074,0.05256532910428591,0.6239021457191818,0.6185055789180477,0.6338875850370282,0.5922628268567969,0.24611031992202337,0.30499902637079734,0.633265879569513,0.6029706411607816,0.6590765032016155,0.49946729171562115,0.6224044607031696,0.6153591882107168,0.6395251599210776,0.6757123739829135,0.5806772613767187,0.5558020589080027,0.2496692464076084,0.5873920433857791,0.541998985437925,0.6396183468213915,0.6656797699993718,0.39620553632012184,0.6563890846404811,0.4319348241928381,0.6420050591092994,0.6746423478739154,0.16937706783811482,0.4428537173358567,0.582453762887083,0.2507808202017648,0.7401166100500006,0.5750009551202162,0.46235271961247965,0.27119573234158445,0.7383515851898926,0.389360845412016,0.4981199388024169,0.531873310764646,0.2837437437554567,0.5151061782231087,0.5517860047986282,-0.06716144957291417,0.3627198048835363,0.2584058853675022,0.5564469908025967,0.08943444349157323,,0.0887564297898981,0.40451512412252294,0.5644262471808715,-0.13857826159094866,0.7049861604859555,0.23927847379417025,0.2315926460814389,0.3103071141920221,0.2410292952852671,0.3880857226183946,0.25814651097827435,0.6788731462264294,0.3506358357631846,0.38417767049966217,0.18383777421667696,0.1045037472553298,0.1620910699565266,0.0703935074141025,0.5120967578976411,0.4666215673759686,0.15597313008368488,0.20414818572134322,0.22133189483149063,0.1235888866138769
dogecoin,0.5941167045319677,0.6858851498016946,0.2885483084442653,0.5916918604828468,0.48746719855086335,0.6636392602721074,1.0,0.06522568593724173,0.7420733826470102,0.689478963377779,0.6645937184125419,0.6753684614993866,0.2996797975438115,0.37271830349577606,0.5386743823106476,0.572013795789859,0.7455859140258921,0.5450274100527618,0.6265071351895435,0.5557060515574502,0.6212629583919704,0.7140935348059082,0.6816574898126023,0.5851093461889226,0.433597676176941,0.7083630675028195,0.5696508789861819,0.6981515289887115,0.6814923208318668,0.37029340074852735,0.7487604845853001,0.3818228703084531,0.5841050158005702,0.7124796460320284,0.16418217128732965,0.3330340032727815,0.4845145140584452,0.44864210424809364,0.6340563410296223,0.5203254233530926,0.46162497620482384,0.20577239626064533,0.7101125569369965,0.3860504516896512,0.4898039945831434,0.5837330722956526,0.4403317387406547,0.49553443496283217,0.513787501675084,0.008694963897230741,0.4476772177455591,0.21276924025415378,0.5230802882160898,0.2382860223928906,,0.25136013096922766,0.30946789962245347,0.6520984612336294,-0.26579061828205575,0.5648223896523811,0.20567478263425007,0.21217207772364882,0.3382798080065311,0.4688562912881962,0.5415594080768275,0.053180973044999275,0.6990738612384034,0.40564425928946557,0.36911021331133426,0.15098573294244275,0.10795743584623352,0.1934127474940421,-0.013941263869021307,0.5116438273478476,0.5249294577319275,0.11480609087788989,0.3259193068203985,0.16947858096704418,0.07361466258180235
guacamole,0.12399366590470591,0.20247884705682948,-0.17167082401788847,0.2163719349245396,0.20404067950351704,0.05256532910428591,0.06522568593724173,1.0,0.156210387341244,0.13735785843645398,0.07268834760987569,0.07144341122783755,-0.036754605090971976,0.24883710330024958,0.10470344621801572,0.11634314347230974,0.1322914497798338,0.18449988578938026,0.21469962725732122,0.18563051816894327,0.07293839598123263,0.19035368683774342,0.25099093075135437,0.11346262191091466,0.09079598221314832,0.14260482308174222,0.2539151103844611,0.14158080688309294,0.29130185585830454,0.04583866478262251,0.18041255469775933,0.16866188109791772,0.033183332730599806,0.06433275043467895,0.13189405598104686,0.2465969761442349,0.10952892779648558,0.24098490139844345,0.12760332914392855,0.08072545136754802,0.08583055411283544,0.08508996508489809,0.03587452021376274,0.07687408025033043,0.06633869946860668,0.20471822259016498,0.08747969047736684,0.18724171053041103,0.23831644154775344,-0.16066743583205378,0.10202385674009107,0.1821673507319828,-0.06408656919231033,-0.03404316572572883,,0.02462791731659089,0.1743802498285483,-0.025267761273890094,-0.020176194971691163,0.18679395092090825,0.14201097623003633,0.2976831004107752,0.0628348600283308,-0.010132568606746231,0.13520047829404824,0.05650706858068313,0.1129766726818254,-0.052855119979189236,0.12907646544504758,-0.007379881990709774,0.05499177683760672,-0.11032737831430331,0.10453181782628826,0.1141536707030698,-0.004507787587042911,0.28990708465549175,0.014749066858121341,-0.12077993941064454,0.00799166543537658
chainlink,0.5974889292795995,0.7382160158972073,0.3386060680170265,0.6439964504187358,0.7119171873521996,0.6239021457191818,0.7420733826470102,0.156210387341244,1.0,0.7024294752461302,0.5828065212930651,0.6536118187352118,0.3287871306303948,0.3881316608048644,0.6441823078120776,0.5524367842177231,0.7687522104635821,0.5742873264673236,0.693527947871581,0.6601130613181746,0.6692931879150708,0.7765484965527027,0.6592140738388841,0.5946774307419791,0.3435587204075474,0.6130191709235102,0.6722721963174366,0.7667437691355217,0.7531647880387015,0.3785053931560756,0.7758851919343056,0.5061043608864833,0.6393903008507211,0.7867956529976873,0.28318073004457894,0.41263836086162664,0.6175482195619002,0.4968684211829449,0.8068441109048883,0.6058182618313133,0.4010166571003388,0.3205874176061772,0.7155278845434304,0.41902203337501637,0.5887714458211735,0.6843213047366221,0.5367364468662574,0.5957962187161905,0.5408364356771382,-0.049162571371021625,0.5025341272732821,0.2577138026316884,0.5864505341109764,0.17034416793066454,,0.20489192101266335,0.39015190979618736,0.5067687186610428,-0.42064196868558085,0.5996284880323236,0.2536975577344673,0.18639208334226684,0.18201911671685567,0.4016257363753346,0.4774546450119402,0.2262816991306516,0.6539917693922386,0.3740545617807178,0.22999278229142966,0.13347770716775026,0.10511409115115516,0.18358441130307454,0.03404466872234275,0.5492708740439843,0.5126115965166561,0.0522043697379528,0.21287306169347348,0.1793561938732061,0.037111958941221775
polkadot,0.4109990904771449,0.5417023884964058,0.22481149651914548,0.5747314949080942,0.4013733111119036,0.6185055789180477,0.689478963377779,0.13735785843645398,0.7024294752461302,1.0,0.5136229959623483,0.5845157690793384,0.24042119304574844,0.26060035116835684,0.5954636774427627,0.41163721886095794,0.6503324115669442,0.4437372763778095,0.5680571887877524,0.679273683145909,0.6540205580610186,0.6303818720902968,0.6008672759276558,0.5982216728200132,0.2617367933064738,0.5415981777113267,0.5719168001160856,0.6023492622756318,0.6351020356209617,0.2694643616059428,0.6910057896739589,0.2869217860871991,0.4281346237984291,0.6801780325283969,0.31100607252245327,0.4104596305919524,0.5349528805013362,0.3725710893193746,0.6537828579226546,0.5035020397824637,0.33865826837002294,0.14325559111184086,0.6520041933520032,0.2890580093792344,0.4816780252776657,0.6318048181361705,0.3578325078811576,0.5556069970152567,0.5060253523690271,-0.022474639233789,0.2383527398729152,0.17047245726452953,0.44785041914388185,0.013465316500717013,,0.19805840275694014,0.3711602164068175,0.5400991405729546,-0.33396359852484914,0.558345293487864,0.0708166872218402,0.11987957628335069,0.2120843807001167,0.3425227202026903,0.3463528789170505,0.14228525609119758,0.5600443161918827,0.2557533035829752,0.3193040905011104,0.012897492172826812,0.13731192367628844,-0.025340735715382683,0.06448129198477681,0.445488908578421,0.4524991897132908,-0.0037560609325824985,0.18575726117135866,0.22081975697877648,-0.05544789211109439
shiba-inu,0.5417344373892236,0.6066360362981947,0.137918344677228,0.5289754343470452,0.48986670088990697,0.6338875850370282,0.6645937184125419,0.07268834760987569,0.5828065212930651,0.5136229959623483,1.0,0.5299353512874881,0.16539190651203312,0.4527833339596801,0.4884207699338008,0.4139799068293718,0.715428940620052,0.43205115782859066,0.5835501473869074,0.4637659265032653,0.5433940265549474,0.6326419377496623,0.5655323972939614,0.45619704360226676,0.33855634226682346,0.6683935857978183,0.38995442371178923,0.6007062938932868,0.5611611478345668,0.34849647248184895,0.5989963703446268,0.4326976483866326,0.5048925370239407,0.5431662728228486,0.03845064549513489,0.33160480713653206,0.5222861374037034,0.26150634727394295,0.6017013775121474,0.44335303324031927,0.44181772241612344,0.2208271252840714,0.49042265819648523,0.2868156729297717,0.4916302649744411,0.47938487001976426,0.49913111239605434,0.4525184824198843,0.4755146757030902,0.03599742252370975,0.4023793185446158,0.3091131480488743,0.5648792688285433,0.22676715667218358,,0.17476734007626687,0.2828482190363485,0.39045647116814025,-0.21422736616832425,0.5596681534367381,0.19931128460762731,0.1464063202803039,0.1780055428356354,0.3849544863528578,0.3221529916995677,0.22822895644331248,0.6247217753411187,0.5155277402370638,0.3176678059290459,0.09404906636667108,0.11672600350859778,0.16487846247786522,-0.08266950721475165,0.4220803585931877,0.41892494130273555,0.1360409632422892,0.19147549210769846,0.034028651030615184,0.12974247942280479
litecoin,0.5875999366152715,0.695094884079386,0.3350980164456586,0.5500489421672683,0.36417717775645203,0.5922628268567969,0.6753684614993866,0.07144341122783755,0.6536118187352118,0.5845157690793384,0.5299353512874881,1.0,0.45239452846083533,0.5585709208182966,0.42471249181957554,0.6740000124483403,0.6668622762263303,0.5690400426721972,0.546142732864111,0.4626185704204646,0.5515104683905806,0.5596411376090158,0.5337597303165166,0.5230838339076002,0.3929390840508957,0.5429702103314936,0.6130786303990303,0.751477356628325,0.7015116396040308,0.5040452717547097,0.7139156368141036,0.42018539744913347,0.6185249009096876,0.7182552418817529,0.35144199256277187,0.27062058170430636,0.5057992750932336,0.38441101669821576,0.621358710625502,0.50855895954033,0.5119922289963051,0.1475845713086383,0.5909427595527513,0.3386996688831043,0.32448597026251175,0.6193065499379483,0.2890586508208578,0.4496428352062368,0.3689127481423851,-0.14753517680266592,0.5278690983291187,0.2653053953663152,0.4832901386816605,0.34796998669673523,,0.2735283760439679,0.18613811749685652,0.4627477944335751,-0.07596191212643402,0.5991138650619878,0.18950797353942317,0.3827580382057607,0.3184457214837312,0.2924605783361498,0.445878802222587,0.09694067060002931,0.5455584761724023,0.4205481839921424,0.29506808133477647,0.14573349126007956,0.12310106306544767,0.230524360096694,-0.07657600262802214,0.47929077062435416,0.5493593994753481,0.26866289909375307,0.22306725132711555,0.11882303668840453,0.0845047128263772
