timestamp,bitcoin,ethereum,dogecoin,litecoin,ripple,cardano,polkadot,stellar,chainlink,shiba-inu,solana
1701801506,43773,2295.46,0.092161,73.55,0.622819,0.417465,5.76,0.122208,15.89,9.35e-06,62.05
1701801548,43799,2295.51,0.092058,73.54,0.622733,0.417361,5.75,0.122124,15.88,9.35e-06,62.08
1701801558,43773,2295.46,0.092161,73.55,0.622819,0.417465,5.76,0.122208,15.89,9.35e-06,62.05
1701801618,43865,2300.02,0.092164,73.64,0.623318,0.417746,5.76,0.122189,15.89,9.35e-06,62.15
1701801680,43865,2300.02,0.092164,73.64,0.623318,0.417746,5.76,0.122189,15.89,9.35e-06,62.15
1701801740,43773,2295.46,0.092161,73.55,0.622819,0.417465,5.76,0.122208,15.89,9.35e-06,62.05
1701801800,43773,2295.46,0.092161,73.55,0.622819,0.417465,5.76,0.122208,15.89,9.35e-06,62.05
1701801860,43980,2301.85,0.092077,73.68,0.623115,0.418358,5.76,0.122336,15.88,9.31e-06,62.07
1701801921,44079,2305.07,0.092352,73.9,0.625169,0.41959,5.77,0.122572,15.92,9.32e-06,62.22
1701801981,43980,2301.85,0.092077,73.68,0.623115,0.418358,5.76,0.122336,15.88,9.31e-06,62.07
1701802041,43960,2298.16,0.092025,73.62,0.623717,0.41898,5.76,0.122377,15.81,9.29e-06,62.04
1701802101,43748,2286.33,0.09162,73.23,0.620995,0.417034,5.72,0.121718,15.72,9.26e-06,61.54
1701802161,43736,2291.68,0.091739,73.19,0.621326,0.417275,5.72,0.121791,15.72,9.28e-06,61.48
1701802221,43736,2291.68,0.091739,73.19,0.621326,0.417275,5.72,0.121791,15.72,9.28e-06,61.48
1701802281,43736,2291.68,0.091739,73.19,0.621326,0.417275,5.72,0.121791,15.72,9.28e-06,61.48
1701802341,43960,2298.16,0.092025,73.62,0.623717,0.41898,5.76,0.122377,15.81,9.29e-06,62.04
1701802401,43682,2287.65,0.092004,73.21,0.622416,0.417804,5.73,0.122016,15.72,9.3e-06,61.32
1701802462,43701,2287.59,0.09202,73.26,0.622624,0.417992,5.73,0.122056,15.73,9.31e-06,61.36
1701802522,43726,2289.17,0.092094,73.27,0.62295,0.41824,5.74,0.122146,15.74,9.31e-06,61.4
1701802582,43682,2287.65,0.092004,73.21,0.622416,0.417804,5.73,0.122016,15.72,9.3e-06,61.32
1701802642,43701,2287.59,0.09202,73.26,0.622624,0.417992,5.73,0.122056,15.73,9.31e-06,61.36
1701802702,43682,2287.65,0.092004,73.21,0.622416,0.417804,5.73,0.122016,15.72,9.3e-06,61.32
1701802762,43821,2288.67,0.092301,73.28,0.623267,0.41815,5.74,0.122234,15.75,9.34e-06,61.5
1701802822,43726,2289.17,0.092094,73.27,0.62295,0.41824,5.74,0.122146,15.74,9.31e-06,61.4
1701802882,43719,2280.56,0.092118,73.13,0.622158,0.417624,5.73,0.122095,15.71,9.33e-06,61.35
1701802942,43821,2288.67,0.092301,73.28,0.623267,0.41815,5.74,0.122234,15.75,9.34e-06,61.5
1701803003,43821,2288.67,0.092301,73.28,0.623267,0.41815,5.74,0.122234,15.75,9.34e-06,61.5
1701803063,43672,2275.81,0.092086,73.08,0.621602,0.418539,5.73,0.122061,15.71,9.33e-06,61.32
1701803123,43672,2276.45,0.09228,73.12,0.621803,0.418482,5.74,0.122109,15.72,9.33e-06,61.38
1701803183,43688,2280.22,0.092328,73.28,0.62203,0.418719,5.74,0.122181,15.76,9.34e-06,61.45
1701803243,43672,2275.81,0.092086,73.08,0.621602,0.418539,5.73,0.122061,15.71,9.33e-06,61.32
1701803303,43672,2275.81,0.092086,73.08,0.621602,0.418539,5.73,0.122061,15.71,9.33e-06,61.32
1701803363,43688,2280.22,0.092328,73.28,0.62203,0.418719,5.74,0.122181,15.76,9.34e-06,61.45
1701803424,43746,2279.09,0.092532,73.39,0.622789,0.419487,5.75,0.122338,15.77,9.33e-06,61.48
1701803484,43746,2279.09,0.092532,73.39,0.622789,0.419487,5.75,0.122338,15.77,9.33e-06,61.48
1701803544,43746,2279.09,0.092532,73.39,0.622789,0.419487,5.75,0.122338,15.77,9.33e-06,61.48
1701803604,43778,2279.52,0.092834,73.32,0.622478,0.419017,5.75,0.122314,15.77,9.34e-06,61.41
1701803664,43746,2279.09,0.092532,73.39,0.622789,0.419487,5.75,0.122338,15.77,9.33e-06,61.48
1701803724,43827,2280.53,0.093804,73.36,0.622943,0.419265,5.76,0.122459,15.78,9.36e-06,61.43
1701803784,43827,2280.53,0.093804,73.36,0.622943,0.419265,5.76,0.122459,15.78,9.36e-06,61.43
1701803845,43795,2276.49,0.094272,73.27,0.621958,0.418124,5.77,0.122315,15.74,9.37e-06,61.26
1701803905,43795,2276.49,0.094272,73.27,0.621958,0.418124,5.77,0.122315,15.74,9.37e-06,61.26
1701803965,43738,2269.67,0.094139,73.18,0.621492,0.418132,5.77,0.122226,15.72,9.36e-06,61.19
1701804025,43795,2276.49,0.094272,73.27,0.621958,0.418124,5.77,0.122315,15.74,9.37e-06,61.26
1701804085,43755,2274.89,0.094325,73.22,0.621889,0.419215,5.78,0.122291,15.74,9.37e-06,61.24
1701804145,43738,2269.67,0.094139,73.18,0.621492,0.418132,5.77,0.122226,15.72,9.36e-06,61.19
1701804205,43781,2274.97,0.094451,73.3,0.622299,0.419648,5.79,0.122376,15.76,9.38e-06,61.31
1701804265,43738,2269.67,0.094139,73.18,0.621492,0.418132,5.77,0.122226,15.72,9.36e-06,61.19
1701804325,43856,2280.33,0.094531,73.42,0.623182,0.420198,5.8,0.122535,15.78,9.4e-06,61.41
1701804386,43873,2280.94,0.094547,73.44,0.623434,0.420716,5.81,0.122499,15.78,9.41e-06,61.43
1701804446,43894,2281.49,0.094566,73.42,0.623644,0.420939,5.81,0.122505,15.78,9.41e-06,61.45
1701804506,43856,2280.33,0.094531,73.42,0.623182,0.420198,5.8,0.122535,15.78,9.4e-06,61.41
1701804566,43856,2280.33,0.094531,73.42,0.623182,0.420198,5.8,0.122535,15.78,9.4e-06,61.41
1701804626,43935,2281.75,0.095189,73.42,0.62383,0.421332,5.81,0.12244,15.78,9.42e-06,61.5
1701804686,43894,2281.49,0.094566,73.42,0.623644,0.420939,5.81,0.122505,15.78,9.41e-06,61.45
1701804746,43935,2281.75,0.095189,73.42,0.62383,0.421332,5.81,0.12244,15.78,9.42e-06,61.5
1701804807,43850,2279.14,0.094946,73.28,0.623551,0.420833,5.8,0.122305,15.78,9.4e-06,61.43
1701804867,43850,2279.14,0.094946,73.28,0.623551,0.420833,5.8,0.122305,15.78,9.4e-06,61.43
1701804927,43776,2277.96,0.09457,73.22,0.622731,0.420081,5.81,0.122172,15.77,9.38e-06,61.41
1701804987,43837,2280.54,0.094622,73.3,0.62363,0.420512,5.82,0.122262,15.79,9.39e-06,61.53
1701805047,43776,2277.96,0.09457,73.22,0.622731,0.420081,5.81,0.122172,15.77,9.38e-06,61.41
1701805107,43868,2282.1,0.094356,73.32,0.624014,0.42069,5.81,0.122316,15.8,9.4e-06,61.51
1701805167,43868,2282.1,0.094356,73.32,0.624014,0.42069,5.81,0.122316,15.8,9.4e-06,61.51
1701805227,43809,2274.37,0.094148,73.12,0.623101,0.420664,5.8,0.122101,15.77,9.38e-06,61.4
1701805288,43737,2271.96,0.093992,73.03,0.622106,0.420447,5.79,0.121928,15.74,9.37e-06,61.27
1701805348,43713,2271.1,0.093937,73.02,0.622021,0.421053,5.79,0.121912,15.73,9.37e-06,61.25
1701805408,43809,2274.37,0.094148,73.12,0.623101,0.420664,5.8,0.122101,15.77,9.38e-06,61.4
1701805468,43809,2274.37,0.094148,73.12,0.623101,0.420664,5.8,0.122101,15.77,9.38e-06,61.4
1701805528,43713,2271.1,0.093937,73.02,0.622021,0.421053,5.79,0.121912,15.73,9.37e-06,61.25
1701805588,43695,2273.15,0.093759,73.09,0.62188,0.422604,5.8,0.122103,15.75,9.36e-06,61.22
1701805648,43695,2273.15,0.093759,73.09,0.62188,0.422604,5.8,0.122103,15.75,9.36e-06,61.22
