0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
6.97,6.97,6.97,6.97,6.97,6.97,6.96,6.96,6.96,6.96,6.96,6.95,6.96,6.95,6.95,6.97,6.96,6.95,6.96,6.95,6.96,6.95,6.95,6.94,6.94,6.94,6.94,6.94,6.94,6.96,6.94,6.97,6.97,6.96,6.98,6.99,6.99,6.99,6.99,6.99,7.0,6.99,6.99,6.99,6.99,7.0,7.02,7.02,7.02,7.0,7.02,7.01,7.02,7.04,7.05,7.05,7.06,7.06,7.06,7.06
0.04623,0.04623,0.04623,0.04628,0.04623,0.04634,0.04634,0.04634,0.04634,0.04636,0.04636,0.04636,0.04636,0.04636,0.04635,0.04618,0.04619,0.04635,0.04619,0.04619,0.04619,0.04599,0.04619,0.04599,0.04598,0.046,0.04599,0.04598,0.04598,0.04605,0.046,0.04599,0.04613,0.04613,0.04616,0.04616,0.04613,0.04625,0.04625,0.04624,0.04626,0.04626,0.04623,0.04626,0.04619,0.04626,0.0468,0.04688,0.04697,0.04697,0.0468,0.04837,0.04707,0.04837,0.04697,0.04697,0.04688,0.0468,0.0468,0.04688
0.0468,0.0468,0.04655,0.0466,0.04655,0.04661,0.04661,0.04662,0.04661,0.04661,0.04662,0.04661,0.04676,0.04677,0.04682,0.04677,0.04677,0.04681,0.04682,0.04681,0.04681,0.04682,0.04681,0.04668,0.04677,0.04668,0.04668,0.04686,0.04688,0.04686,0.04688,0.04737,0.04688,0.0474,0.04741,0.04737,0.04746,0.04746,0.04741,0.04759,0.04759,0.04759,0.04763,0.04763,0.04763,0.04763,0.04763,0.04783,0.04818,0.04818,0.0497,0.04818,0.04803,0.04818,0.04896,0.04906,0.04913,0.04913,0.04896,0.04924
0.61016,0.60856,0.60851,0.60856,0.60856,0.60856,0.60663,0.60851,0.60856,0.60597,0.60597,0.60634,0.60638,0.60597,0.60859,0.60859,0.60854,0.60867,0.60867,0.60947,0.60867,0.60868,0.60867,0.60604,0.60686,0.60688,0.60688,0.60604,0.60878,0.60878,0.60878,0.61001,0.61001,0.6088,0.6087,0.60849,0.6088,0.60849,0.60849,0.60999,0.60994,0.60999,0.60959,0.60976,0.60997,0.60998,0.60959,0.60997,0.60998,0.60935,0.60958,0.61701,0.60958,0.60958,0.61644,0.61645,0.61644,0.61644,0.61645,0.61644
0.60326,0.60293,0.6032,0.60326,0.6032,0.60385,0.6032,0.60385,0.6036,0.6036,0.60359,0.6036,0.6036,0.6038,0.60359,0.60359,0.60571,0.60564,0.60359,0.60577,0.60564,0.60564,0.60577,0.60405,0.60406,0.60407,0.60612,0.60406,0.60407,0.60506,0.60279,0.60279,0.60287,0.60287,0.60277,0.6055,0.60287,0.60553,0.60277,0.60277,0.60553,0.60308,0.60308,0.60308,0.60308,0.60308,0.60347,0.60426,0.60347,0.60425,0.60425,0.65053,0.65053,0.65053,0.60582,0.60512,0.65053,0.60529,0.60529,0.6056
0.60359,0.60359,0.60359,0.60359,0.60298,0.60313,0.60313,0.60313,0.60313,0.60313,0.60281,0.6031,0.60281,0.60271,0.60278,0.60278,0.60464,0.60464,0.60464,0.60473,0.60482,0.60482,0.60358,0.60482,0.60482,0.60482,0.60358,0.60333,0.60341,0.60341,0.60358,0.60294,0.60333,0.60281,0.60294,0.60271,0.60281,0.60256,0.60291,0.60291,0.60288,0.60291,0.60291,0.60288,0.604,0.60388,0.60388,0.604,0.60237,0.60196,0.60237,0.60196,0.60237,0.65139,0.6514,0.6514,0.6033,0.60337,0.60337,0.6033
0.60336,0.60323,0.60338,0.60336,0.60257,0.60257,0.60238,0.60224,0.60224,0.60238,0.60286,0.60287,0.60286,0.60234,0.60228,0.60228,0.60228,0.60234,0.60234,0.6026,0.6026,0.6026,0.6026,0.6026,0.60316,0.60316,0.60316,0.60327,0.60316,0.60376,0.60376,0.60386,0.60383,0.60386,0.60376,0.60232,0.60383,0.60254,0.60254,0.60399,0.60425,0.60254,0.60298,0.60289,0.60298,0.60298,0.60267,0.60267,0.60375,0.60267,0.60253,0.60375,0.60375,0.60253,0.60166,0.60162,0.60162,0.60166,0.60162,0.60015
0.60965,0.60869,0.60969,0.60917,0.61014,0.61014,0.61014,0.61014,0.61014,0.61045,0.6101,0.61032,0.61032,0.60962,0.61032,0.60918,0.60962,0.60963,0.60963,0.60963,0.60963,0.61003,0.60963,0.61003,0.61028,0.61028,0.61028,0.61028,0.61028,0.61048,0.61048,0.61009,0.61005,0.61005,0.61005,0.61005,0.61005,0.60901,0.60844,0.60901,0.60874,0.61047,0.60874,0.61087,0.61087,0.61055,0.61024,0.61087,0.61055,0.61024,0.60979,0.61052,0.61071,0.61071,0.61071,0.60979,0.61144,0.61149,0.61144,0.61144
5.32,5.34,5.34,5.33,5.34,5.34,5.33,5.34,5.33,5.34,5.34,5.34,5.33,5.34,5.33,5.33,5.33,5.32,5.32,5.29,5.32,5.28,5.32,5.29,5.29,5.29,5.29,5.29,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.29,5.28,5.29,5.3,5.3,5.3,5.31,5.3,5.3,5.31,5.3,5.31,5.3,5.31,5.31,5.29,5.29,5.29,5.29,5.29,5.29
0.09643,0.09643,0.09643,0.09643,0.09643,0.09639,0.09639,0.09657,0.09672,0.09657,0.09676,0.09672,0.09672,0.09692,0.09689,0.09692,0.09692,0.09689,0.09689,0.09689,0.09725,0.09729,0.09725,0.09729,0.09768,0.0978,0.09793,0.09768,0.09768,0.09786,0.09786,0.09772,0.09786,0.09772,0.09765,0.09772,0.09741,0.09741,0.09765,0.0972,0.09741,0.09716,0.09729,0.0972,0.09729,0.09735,0.09757,0.09729,0.09763,0.09776,0.09788,0.09763,0.09788,0.09768,0.09768,0.0977,0.0977,0.09741,0.09737,0.09724
